part,model,benchmark,lang,scorer,prompt_variant,subset,n,accuracy,ci_low,ci_high,parse_fail_rate,wall_clock_sec
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,CONT,v1_en,all,400,0.3025,0.255,0.35,,11.0
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,CONT,v1_en,CS,200,0.3,0.24,0.365,,11.0
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,CONT,v1_en,CA,200,0.305,0.24,0.37,,11.0
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,CONT,v1_en,all,400,0.285,0.24,0.33,,10.9
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,CONT,v1_en,CS,200,0.26,0.2,0.32,,10.9
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,CONT,v1_en,CA,200,0.31,0.25,0.375,,10.9
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,CONT,v1_en,all,400,0.245,0.2025,0.2875,,16.3
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,CONT,v1_en,CS,200,0.28,0.219875,0.345,,16.3
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,CONT,v1_en,CA,200,0.21,0.155,0.27,,16.3
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,CONT_CHARNORM,v1_en,all,400,0.3275,0.2825,0.370062,,11.0
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,CONT_CHARNORM,v1_en,CS,200,0.37,0.3,0.435,,11.0
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,CONT_CHARNORM,v1_en,CA,200,0.285,0.225,0.345,,11.0
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,CONT_CHARNORM,v1_en,all,400,0.31,0.265,0.355,,10.9
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,CONT_CHARNORM,v1_en,CS,200,0.32,0.255,0.38,,10.9
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,CONT_CHARNORM,v1_en,CA,200,0.3,0.24,0.37,,10.9
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,CONT_CHARNORM,v1_en,all,400,0.2925,0.2475,0.3375,,16.3
