part,model,benchmark,lang,scorer,prompt_variant,subset,n,accuracy,ci_low,ci_high,parse_fail_rate,wall_clock_sec
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,v1_en,all,200,0.44,0.375,0.510125,,1.7
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,v1_en,CS,100,0.4,0.3,0.49025,,1.7
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,v1_en,CA,100,0.48,0.38,0.58,,1.7
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,de,LETTER,v1_en,all,200,0.41,0.345,0.48,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,de,LETTER,v1_en,CS,100,0.39,0.3,0.48,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,de,LETTER,v1_en,CA,100,0.43,0.33,0.52,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,v1_en,all,200,0.465,0.395,0.535,,1.8
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,v1_en,CS,100,0.47,0.37,0.57,,1.8
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,v1_en,CA,100,0.46,0.36,0.56,,1.8
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,ar,LETTER,v1_en,all,200,0.32,0.26,0.385,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,ar,LETTER,v1_en,CS,100,0.28,0.19,0.37,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,ar,LETTER,v1_en,CA,100,0.36,0.27,0.45,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,v1_en,all,200,0.28,0.215,0.345,,4.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,v1_en,CS,100,0.29,0.2,0.38,,4.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,v1_en,CA,100,0.27,0.18975,0.36,,4.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,id,LETTER,v1_en,all,200,0.355,0.29,0.425,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,id,LETTER,v1_en,CS,100,0.32,0.23,0.41,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,id,LETTER,v1_en,CA,100,0.39,0.29,0.49,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,v1_en,all,200,0.265,0.205,0.325125,,2.3
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,v1_en,CS,100,0.26,0.18,0.35,,2.3
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,v1_en,CA,100,0.27,0.19,0.36,,2.3
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,yo,LETTER,v1_en,all,200,0.24,0.18,0.3,,3.3
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,yo,LETTER,v1_en,CS,100,0.21,0.13,0.3,,3.3
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,yo,LETTER,v1_en,CA,100,0.27,0.18,0.36,,3.3
